league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ITA-Serie A,2022,Fiorentina,Rolando Mandragora,ITA,MF,25,1997,21.7,42,24,12,22,8,23,52,44.2,29,25,3,22,16,58,21,0,defense
ITA-Serie A,2022,Fiorentina,Salvatore Sirigu,ITA,GK,35,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ITA-Serie A,2022,Fiorentina,Sofyan Amrabat,MAR,MF,25,1996,22.2,39,24,15,17,7,16,29,55.2,13,23,5,18,21,60,18,2,defense
ITA-Serie A,2022,Fiorentina,Szymon Żurkowski,POL,MF,24,1997,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Fiorentina,Youssef Maleh,MAR,MF,23,1998,3.3,3,1,0,3,0,0,4,0.0,4,5,0,5,1,4,3,0,defense
ITA-Serie A,2022,Hellas Verona,Adolfo Gaich,ARG,FW,23,1999,8.1,5,3,0,3,2,1,6,16.7,5,7,2,5,3,8,7,1,defense
ITA-Serie A,2022,Hellas Verona,Adrien Tameze,CMR,MF,28,1994,33.7,51,30,21,26,4,28,63,44.4,35,51,14,37,37,88,55,2,defense
ITA-Serie A,2022,Hellas Verona,Ajdin Hrustic,AUS,MF,26,1996,2.5,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,2,1,defense
ITA-Serie A,2022,Hellas Verona,Alessandro Cortinovis,ITA,MF,21,2001,0.1,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,defense
ITA-Serie A,2022,Hellas Verona,Antonín Barák,CZE,MF,27,1994,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Hellas Verona,Bruno Amione,ARG,DF,20,2002,0.6,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,4,0,defense
ITA-Serie A,2022,Hellas Verona,Cyril Ngonge,BEL,"MF,FW",22,2000,8.3,7,3,2,2,3,3,11,27.3,8,7,0,7,6,13,4,0,defense
ITA-Serie A,2022,Hellas Verona,Darko Lazović,SRB,"MF,DF",31,1990,24.9,24,13,9,12,3,13,29,44.8,16,14,3,11,16,40,19,0,defense
