league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2024,Dortmund,Waldemar Anton,GER,DF,28-265,1996.0,15.7,0,15,1,6.7,0.96,0.06,0.0,0.0,14.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,shooting
GER-Bundesliga,2024,Dortmund,Yan Couto,BRA,"DF,FW",22-312,2002.0,9.1,0,5,2,40.0,0.55,0.22,0.0,0.0,22.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
GER-Bundesliga,2024,Dortmund,Yannik Lührs,GER,DF,21-214,2003.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Eint Frankfurt,Ansgar Knauff,GER,"MF,DF",23-091,2002.0,13.8,1,20,5,25.0,1.45,0.36,0.05,0.2,16.4,0,0,0,2.5,2.5,0.13,-1.5,-1.5,shooting
GER-Bundesliga,2024,Eint Frankfurt,Arthur Theate,BEL,DF,24-321,2000.0,24.5,0,29,6,20.7,1.18,0.24,0.0,0.0,19.3,0,0,0,1.5,1.5,0.05,-1.5,-1.5,shooting
GER-Bundesliga,2024,Eint Frankfurt,Aurele Amenda,SUI,DF,21-254,2003.0,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Eint Frankfurt,Can Uzun,TUR,"MF,FW",19-151,2005.0,6.3,4,25,11,44.0,3.96,1.74,0.16,0.36,16.7,0,0,0,2.7,2.7,0.11,1.3,1.3,shooting
GER-Bundesliga,2024,Eint Frankfurt,Ellyes Skhiri,TUN,MF,29-336,1995.0,19.1,0,12,1,8.3,0.63,0.05,0.0,0.0,18.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8,shooting
GER-Bundesliga,2024,Eint Frankfurt,Elye Wahi,FRA,"FW,MF",22-099,2003.0,1.8,0,6,1,16.7,3.31,0.55,0.0,0.0,16.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,shooting
GER-Bundesliga,2024,Eint Frankfurt,Fares Chaïbi,ALG,"MF,FW",22-134,2002.0,8.5,1,21,6,28.6,2.47,0.71,0.05,0.17,17.0,2,0,0,2.4,2.4,0.11,-1.4,-1.4,shooting
GER-Bundesliga,2024,Eint Frankfurt,Hugo Ekitike,FRA,FW,22-295,2002.0,22.8,13,94,33,35.1,4.13,1.45,0.13,0.36,15.4,1,1,3,18.5,16.2,0.17,-5.5,-4.2,shooting
GER-Bundesliga,2024,Eint Frankfurt,Hugo Larsson,SWE,MF,20-288,2004.0,21.4,3,19,9,47.4,0.89,0.42,0.16,0.33,16.1,0,0,0,3.0,3.0,0.16,0.0,0.0,shooting
