league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2024,Roma,Mario Hermoso,ESP,DF,29-297,1995,2.8,227,24,97,113,18,1,227,3,2,66.7,1,33.3,104,455,250,3,1,0,0,1,163,5,possession
ITA-Serie A,2024,Roma,Mats Hummels,GER,DF,36-116,1988,10.2,559,57,221,313,29,10,559,6,4,66.7,2,33.3,278,1305,636,4,9,0,0,1,322,1,possession
ITA-Serie A,2024,Roma,Matìas Soulé,ARG,"MF,FW",21-361,2003,13.1,881,11,82,332,475,55,881,70,22,31.4,36,51.4,559,3415,1806,63,42,21,41,21,649,122,possession
ITA-Serie A,2024,Roma,Mile Svilar,SRB,GK,25-227,1999,31.0,1259,1013,1252,6,1,1,1259,0,0,,0,,793,3949,2214,0,0,0,0,1,746,0,possession
ITA-Serie A,2024,Roma,Niccolò Pisilli,ITA,MF,20-200,2004,12.4,677,18,91,397,194,32,677,12,5,41.7,4,33.3,376,1824,889,21,16,6,26,12,491,43,possession
ITA-Serie A,2024,Roma,Nicola Zalewski,POL,"DF,FW",23-078,2002,5.9,325,9,53,122,155,15,325,16,2,12.5,13,81.3,193,1581,818,31,18,6,8,4,221,54,possession
ITA-Serie A,2024,Roma,Obite N'Dicka,CIV,DF,25-234,1999,31.0,2382,306,1136,1180,76,22,2382,3,0,0.0,2,66.7,1445,7431,3386,23,17,0,15,3,1724,5,possession
ITA-Serie A,2024,Roma,Paulo Dybala,ARG,"FW,MF",31-147,1993,15.7,909,6,67,415,439,75,906,43,11,25.6,17,39.5,595,3180,1472,41,42,17,40,28,709,122,possession
ITA-Serie A,2024,Roma,Samuel Dahl,SWE,"DF,MF",25-038,2000,0.5,37,0,3,16,18,0,37,1,0,0.0,1,100.0,21,117,35,1,2,0,1,0,25,4,possession
ITA-Serie A,2024,Roma,Saud Abdulhamid,KSA,DF,25-267,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,possession
ITA-Serie A,2024,Roma,Stephan El Shaarawy,ITA,"DF,MF",32-166,1992,11.5,594,12,86,240,283,43,594,35,17,48.6,13,37.1,355,2361,1137,40,35,12,18,10,398,74,possession
