nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
CMR,DF,19,2002,12.2,687,46,190,301,204,9,687,13,4,30.8,7,53.8,399,2373,1198,25,26,2,14,7,377,57,FRA-Ligue 1,2022,possession
FRA,"FW,DF",24,1998,21.4,924,31,223,383,334,41,924,62,25,40.3,32,51.6,562,3630,1723,37,41,12,32,22,513,108,FRA-Ligue 1,2022,possession
MLI,DF,27,1995,28.7,1503,135,519,692,315,29,1503,36,17,47.2,15,41.7,962,6066,2873,50,36,6,33,13,820,70,FRA-Ligue 1,2022,possession
GUI,DF,28,1994,14.5,984,64,282,473,239,14,984,29,9,31.0,17,58.6,629,3648,1842,28,33,3,17,9,536,65,FRA-Ligue 1,2022,possession
SUI,GK,28,1994,13.0,450,365,448,2,0,0,450,1,0,0.0,1,100.0,298,1693,1024,0,0,0,0,0,172,0,FRA-Ligue 1,2022,possession
FRA,MF,30,1992,30.4,2237,59,542,1401,321,10,2237,55,20,36.4,22,40.0,1785,9143,4174,37,47,2,43,44,1610,42,FRA-Ligue 1,2022,possession
FRA,MF,20,2001,27.3,1339,98,409,765,178,14,1339,26,13,50.0,9,34.6,879,4089,1539,8,15,2,20,12,754,28,FRA-Ligue 1,2022,possession
FRA,MF,18,2004,8.0,438,11,99,274,73,5,438,16,8,50.0,4,25.0,318,1724,659,9,12,1,15,7,278,11,FRA-Ligue 1,2022,possession
FRA,MF,22,2000,13.2,692,23,184,401,123,19,692,30,11,36.7,15,50.0,467,2520,1176,14,15,3,27,14,398,25,FRA-Ligue 1,2022,possession
FRA,DF,32,1990,8.5,539,74,239,293,8,5,539,2,1,50.0,1,50.0,382,1940,1144,0,0,0,1,0,357,2,FRA-Ligue 1,2022,possession
POR,GK,23,1999,1.5,56,44,56,0,0,0,56,0,0,,0,,32,211,112,0,0,0,0,0,19,0,FRA-Ligue 1,2022,possession
FRA,DF,20,2002,18.3,944,146,515,408,27,12,944,6,4,66.7,2,33.3,607,3154,1667,9,4,0,4,4,522,1,FRA-Ligue 1,2022,possession
FRA,DF,23,1999,14.2,747,66,289,329,133,19,747,15,5,33.3,8,53.3,447,2740,1368,20,16,3,18,4,407,34,FRA-Ligue 1,2022,possession
POR,DF,31,1990,0.1,4,1,2,2,0,0,4,0,0,,0,,2,20,16,0,0,0,1,0,1,0,FRA-Ligue 1,2022,possession
FRA,"FW,MF",20,2002,0.2,19,0,6,9,4,1,19,0,0,,0,,9,30,8,1,0,1,0,0,8,0,FRA-Ligue 1,2022,possession
ENG,FW,24,1998,14.3,530,15,78,231,244,51,530,74,32,43.2,37,50.0,392,2852,1175,34,37,11,39,32,356,91,FRA-Ligue 1,2022,possession
FRA,DF,21,2001,0.1,9,1,3,3,3,0,9,0,0,,0,,7,42,8,0,0,0,1,0,6,1,FRA-Ligue 1,2022,possession
FRA,DF,23,1998,5.9,326,19,93,160,76,6,326,13,8,61.5,5,38.5,201,1032,417,5,9,1,9,4,183,36,FRA-Ligue 1,2022,possession
