league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
GER-Bundesliga,2022,Eint Frankfurt,Paxten Aaronson,USA,"MF,DF",18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Philipp Max,GER,DF,28,1993,7.7,12,9,4,7,1,5,16,31.3,11,10,2,8,3,15,11,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Rafael Borré,COL,"MF,FW",26,1995,12.0,25,15,4,13,8,4,17,23.5,13,10,2,8,2,27,9,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Randal Kolo Muani,FRA,FW,23,1998,29.2,14,10,3,3,8,1,9,11.1,8,19,2,17,3,17,13,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Sebastian Rode,GER,MF,31,1990,15.7,38,24,7,28,3,14,45,31.1,31,18,2,16,16,54,12,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Timothy Chandler,USA,DF,32,1990,1.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,3,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Tuta,BRA,DF,23,1999,30.2,53,35,27,19,7,33,57,57.9,24,47,14,33,49,102,134,2,defense
GER-Bundesliga,2022,Freiburg,Christian Günter,GER,"DF,MF",29,1993,30.5,29,21,18,9,2,13,43,30.2,30,22,4,18,16,45,41,0,defense
GER-Bundesliga,2022,Freiburg,Daniel Kyereh,GHA,"MF,FW",26,1996,6.2,6,4,2,4,0,3,6,50.0,3,4,0,4,2,8,6,0,defense
GER-Bundesliga,2022,Freiburg,Hugo Siquet,BEL,DF,20,2002,0.2,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0,defense
GER-Bundesliga,2022,Freiburg,Jeong Woo-yeong,KOR,"MF,FW",22,1999,7.3,7,3,4,2,1,2,5,40.0,3,7,1,6,1,8,7,0,defense
GER-Bundesliga,2022,Freiburg,Jonathan Schmid,FRA,DF,32,1990,0.5,1,1,1,0,0,0,0,,0,1,0,1,1,2,1,1,defense
